"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           9,                 0,      -5.476923438,      -2.402458454,      -3.159431581,   -0.008542747389,      -1.606447411,       3.187107598
          1,           0,           9,             0.003,      -6.226635482,       -2.70668625,      -3.807079122,     -0.7943782238,      -1.653335515,       2.911063192
          2,           0,           9,             0.006,      -6.334563287,      -2.892700721,      -3.978699366,      -1.417482628,      -1.791279732,       2.513904025
          3,           0,           9,             0.009,      -6.191103956,      -3.031078375,      -4.015257878,      -1.663279859,       -1.93935335,       2.191294713
          4,           0,           9,             0.012,      -6.097987674,      -3.142328599,       -4.03720016,      -1.707769762,      -2.073654848,       2.000171313
          5,           0,           9,             0.015,      -6.034426662,      -3.231856849,      -4.049340391,      -1.714835659,      -2.189771751,       1.864231991
          6,           0,           9,             0.018,      -5.988150038,      -3.304932712,      -4.056139712,      -1.709002793,      -2.290031844,       1.748535112
          7,           0,           9,             0.021,      -5.954587337,      -3.365517693,      -4.058489302,      -1.694502092,      -2.377878441,        1.64900765
          8,           0,           9,             0.024,      -5.928007505,       -3.41698525,      -4.059117127,      -1.691331725,      -2.456142234,       1.565303258
          9,           0,           9,             0.027,      -5.906156566,      -3.460839478,      -4.058578815,      -1.682488318,      -2.526861688,       1.495615268
