"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -4.838357389,      -1.404352028,      -2.790863826,      0.6510436586,      -7.345621855
          0,           0,          64,      -4.846447469,      -1.414796354,      -2.811004694,      0.6428276413,      -7.357922093
          0,           0,          65,      -4.854388193,      -1.425033374,      -2.831064389,      0.6347390427,      -7.368041148
          0,           0,          66,      -4.862184485,      -1.435069497,      -2.851041181,        0.62677487,      -7.377471104
          0,           0,          67,      -4.869842555,      -1.444910884,      -2.870929067,      0.6189317694,      -7.384023115
          0,           0,          68,      -4.877369362,       -1.45456345,      -2.890718655,      0.6112062694,      -7.387199069
          0,           0,          69,      -4.884772058,      -1.464032886,      -2.910397005,        0.60359502,      -7.388281486
          0,           0,          70,      -4.892057549,      -1.473324663,      -2.929946234,      0.5960949184,      -7.388156052
          0,           0,          71,      -4.899232212,      -1.482444043,      -2.949341697,      0.5887031146,      -7.387416117
          0,           0,          72,      -4.906301741,      -1.491396088,       -2.96855086,      0.5814169564,      -7.386342931
          0,           0,          73,      -4.913271083,      -1.500185658,       -2.98753382,      0.5742339072,      -7.385115127
          0,           0,          74,      -4.920144462,      -1.508817412,      -3.006245971,      0.5671514715,      -7.383970334
          0,           0,          75,      -4.926925433,      -1.517295808,      -3.024642743,       0.560167162,       -7.38295931
          0,           0,          76,      -4.933616948,       -1.52562511,      -3.042685728,      0.5532785203,      -7.381848055
          0,           0,          77,      -4.940221426,      -1.533809396,      -3.060349052,      0.5464831791,      -7.380544053
          0,           0,          78,      -4.946740815,      -1.541852575,      -3.077624542,      0.5397789422,      -7.379184522
          0,           0,          79,      -4.953176666,      -1.549758406,      -3.094524361,      0.5331638539,      -7.377822593
          0,           0,          80,      -4.959530217,      -1.557530515,      -3.111080139,      0.5266362338,      -7.376355343
          0,           0,          81,      -4.965802474,      -1.565172413,      -3.127338881,      0.5201946695,      -7.375127738
          0,           0,          82,      -4.971994307,      -1.572687514,      -3.143355799,      0.5138379649,      -7.374887857
          0,           0,          83,       -4.97810653,       -1.58007914,       -3.15918609,       0.507565066,      -7.374741961
          0,           0,          84,      -4.984139971,      -1.587350519,      -3.174877054,      0.5013749725,      -7.373786444
          0,           0,          85,      -4.990095511,      -1.594504784,      -3.190462041,      0.4952666679,      -7.372319963
          0,           0,          86,      -4.995974105,      -1.601544978,      -3.205957099,      0.4892390687,      -7.370660475
          0,           0,          87,      -5.001776806,      -1.608474053,      -3.221360546,      0.4832909881,      -7.368961976
          0,           0,          88,      -5.007504766,      -1.615294873,      -3.236655078,      0.4774211233,       -7.36724905
          0,           0,          89,      -5.013159243,      -1.622010205,      -3.251811581,      0.4716280601,      -7.365610731
          0,           0,          90,      -5.018741595,      -1.628622727,      -3.266793618,      0.4659102862,      -7.364472534
          0,           0,          91,      -5.024253282,      -1.635135028,       -3.28156165,      0.4602662053,      -7.363727209
          0,           0,          92,       -5.02969587,       -1.64154961,      -3.296076332,      0.4546941511,      -7.362565423
          0,           0,          93,      -5.035071021,        -1.6478689,      -3.310300623,      0.4491923999,       -7.36095708
          0,           0,          94,      -5.040380487,      -1.654095253,      -3.324200742,       0.443759184,      -7.359170436
          0,           0,          95,      -5.045626088,      -1.660230953,      -3.337746332,      0.4383927044,       -7.35753951
          0,           0,          96,      -5.050809698,       -1.66627821,       -3.35091031,       0.433091143,      -7.356459739
          0,           0,          97,      -5.055933216,       -1.67223917,      -3.363668877,      0.4278526787,      -7.355580018
          0,           0,          98,      -5.060998539,       -1.67811591,      -3.376001948,      0.4226755031,      -7.354354203
          0,           0,          99,      -5.066007536,      -1.683910446,      -3.387894079,      0.4175578378,      -7.353072669
          0,           0,         100,      -5.070962028,       -1.68962473,      -3.399335774,      0.4124979502,      -7.352066213
          0,           0,         101,      -5.075863758,       -1.69526065,      -3.410324877,      0.4074941698,      -7.350939908
          0,           0,         102,      -5.080714376,      -1.700820036,      -3.420867705,      0.4025449055,      -7.349445929
          0,           0,         103,      -5.085515418,      -1.706304663,      -3.430979614,      0.3976486578,      -7.347698517
          0,           0,         104,      -5.090268293,      -1.711716251,      -3.440684772,      0.3928040304,      -7.345788264
          0,           0,         105,      -5.094974271,      -1.717056461,      -3.450015092,      0.3880097398,      -7.343772929
          0,           0,         106,      -5.099634476,      -1.722326903,      -3.459008403,      0.3832646205,       -7.34171774
          0,           0,         107,      -5.104249893,      -1.727529137,      -3.467706087,      0.3785676239,      -7.339651267
          0,           0,         108,      -5.108821376,      -1.732664671,      -3.476150435,      0.3739178141,       -7.33756431
          0,           0,         109,      -5.113349667,      -1.737734973,      -3.484382017,      0.3693143578,      -7.335452692
          0,           0,         110,       -5.11783542,      -1.742741465,      -3.492437322,       0.364756512,      -7.333328755
          0,           0,         111,      -5.122279226,       -1.74768553,      -3.500346868,      0.3602436088,      -7.331210667
          0,           0,         112,      -5.126681639,      -1.752568515,      -3.508133787,      0.3557750378,      -7.329116698
          0,           0,         113,      -5.131043201,      -1.757391728,      -3.515813296,      0.3513502291,      -7.327049262
          0,           0,         114,      -5.135364463,      -1.762156447,      -3.523392542,      0.3469686369,      -7.324997126
          0,           0,         115,      -5.139645997,      -1.766863915,      -3.530871266,      0.3426297208,      -7.322954249
          0,           0,         116,      -5.143888404,      -1.771515346,      -3.538243023,       0.338332931,      -7.320918921
          0,           0,         117,      -5.148092317,      -1.776111924,      -3.545496862,      0.3340776952,      -7.318893617
          0,           0,         118,      -5.152258393,      -1.780654805,       -3.55261938,      0.3298634068,      -7.316884695
          0,           0,         119,      -5.156387308,      -1.785145117,      -3.559596937,      0.3256894173,      -7.314896241
          0,           0,         120,      -5.160479741,      -1.789583963,      -3.566417815,      0.3215550331,      -7.312943859
          0,           0,         121,      -5.164536361,      -1.793972421,      -3.573074112,      0.3174595162,      -7.311089407
          0,           0,         122,      -5.168557813,      -1.798311544,      -3.579563132,       0.313402089,      -7.309480105
          0,           0,         123,      -5.172544704,      -1.802602362,      -3.585888127,      0.3093819438,      -7.308299963
          0,           0,         124,      -5.176497596,      -1.806845879,      -3.592058295,      0.3053982543,      -7.307440919
          0,           0,         125,      -5.180416997,      -1.811043079,      -3.598088069,      0.3014501897,      -7.306474825
          0,           0,         126,      -5.184303361,      -1.815194923,      -3.603995811,      0.2975369279,      -7.305219807
          0,           0,         127,      -5.188157088,      -1.819302347,      -3.609802102,      0.2936576695,      -7.303736531
          0,           0,         128,      -5.191978527,      -1.823366265,      -3.615527868,      0.2898116499,      -7.302115007
          0,           0,         129,       -5.19576799,      -1.827387567,      -3.621192599,      0.2859981473,      -7.300437739
          0,           0,         130,      -5.199525756,      -1.831367121,       -3.62681288,      0.2822164894,      -7.298793376
          0,           0,         131,      -5.203252089,      -1.835305769,      -3.632401384,       0.278466052,      -7.297230584
          0,           0,         132,      -5.206947243,      -1.839204331,      -3.637966407,      0.2747462644,      -7.295645153
          0,           0,         133,      -5.210611473,      -1.843063601,      -3.643511941,      0.2710566033,       -7.29394141
          0,           0,         134,      -5.214245046,      -1.846884353,      -3.649038223,      0.2673965888,      -7.292138743
          0,           0,         135,      -5.217848245,      -1.850667338,      -3.654542612,       0.263765779,      -7.290280455
          0,           0,         136,      -5.221421375,      -1.854413283,      -3.660020653,      0.2601637632,      -7.288393597
          0,           0,         137,       -5.22496476,      -1.858122895,      -3.665467166,      0.2565901553,      -7.286496042
          0,           0,         138,      -5.228478747,       -1.86179686,      -3.670877203,      0.2530445874,      -7.284605041
          0,           0,         139,      -5.231963698,      -1.865435844,      -3.676246773,      0.2495267035,      -7.282731645
          0,           0,         140,      -5.235419992,      -1.869040495,      -3.681573263,       0.246036154,      -7.280881566
          0,           0,         141,      -5.238848017,      -1.872611442,      -3.686855545,      0.2425725906,      -7.279050609
          0,           0,         142,      -5.242248169,      -1.876149296,      -3.692093804,      0.2391356614,      -7.277229624
          0,           0,         143,      -5.245620845,      -1.879654655,      -3.697289166,      0.2357250068,      -7.275411243
          0,           0,         144,      -5.248966447,        -1.8831281,      -3.702443211,      0.2323402568,      -7.273591886
          0,           0,         145,      -5.252285374,      -1.886570198,      -3.707557469,      0.2289810282,      -7.271772439
          0,           0,         146,      -5.255578027,      -1.889981503,      -3.712633002,      0.2256469237,      -7.269956973
          0,           0,         147,      -5.258844804,      -1.893362555,      -3.717670111,      0.2223375322,      -7.268150036
          0,           0,         148,      -5.262086105,      -1.896713883,      -3.722668225,      0.2190524299,      -7.266356236
          0,           0,         149,      -5.265302327,      -1.900036005,      -3.727625969,      0.2157911835,      -7.264577458
          0,           0,         150,      -5.268493871,      -1.903329426,      -3.732541376,      0.2125533542,      -7.262812983
          0,           0,         151,      -5.271661135,      -1.906594641,      -3.737412219,      0.2093385027,       -7.26106029
          0,           0,         152,      -5.274804515,      -1.909832134,      -3.742236385,      0.2061461954,      -7.259317561
          0,           0,         153,      -5.277924406,      -1.913042378,      -3.747012243,      0.2029760099,      -7.257583344
          0,           0,         154,      -5.281021197,      -1.916225834,      -3.751738947,      0.1998275419,      -7.255859349
          0,           0,         155,      -5.284095271,      -1.919382954,      -3.756416633,      0.1967004095,      -7.254147713
          0,           0,         156,      -5.287147003,      -1.922514176,      -3.761046485,      0.1935942586,      -7.252448737
          0,           0,         157,      -5.290176757,      -1.925619926,      -3.765630668,      0.1905087654,      -7.250764463
          0,           0,         158,      -5.293184888,      -1.928700622,       -3.77017214,       0.187443638,       -7.24909895
          0,           0,         159,      -5.296171738,      -1.931756665,      -3.774674368,      0.1843986164,      -7.247462597
          0,           0,         160,      -5.299137638,      -1.934788448,      -3.779140994,      0.1813734705,      -7.245867415
          0,           0,         161,       -5.30208291,      -1.937796349,      -3.783575481,      0.1783679971,      -7.244306203
          0,           0,         162,      -5.305007865,      -1.940780737,       -3.78798079,      0.1753820156,      -7.242746698
          0,           0,         163,      -5.307912808,      -1.943741966,      -3.792359111,      0.1724153623,      -7.241170117
          0,           0,         164,      -5.310798039,      -1.946680382,      -3.796711688,      0.1694678851,      -7.239580701
          0,           0,         165,      -5.313663853,      -1.949596318,      -3.801038733,       0.166539438,      -7.237986863
          0,           0,         166,      -5.316510544,      -1.952490096,      -3.805339449,       0.163629875,      -7.236394759
          0,           0,         167,      -5.319338404,       -1.95536203,      -3.809612138,      0.1607390455,      -7.234808669
          0,           0,         168,      -5.322147727,      -1.958212426,        -3.8138544,      0.1578667905,      -7.233229734
          0,           0,         169,      -5.324938803,      -1.961041578,      -3.818063375,      0.1550129391,       -7.23165686
          0,           0,         170,      -5.327711923,      -1.963849775,      -3.822236026,      0.1521773074,      -7.230089841
          0,           0,         171,      -5.330467373,      -1.966637297,      -3.826369413,      0.1493596977,      -7.228530368
          0,           0,         172,      -5.333205431,      -1.969404418,      -3.830460961,      0.1465598989,      -7.226980096
          0,           0,         173,      -5.335926368,      -1.972151403,      -3.834508677,      0.1437776885,      -7.225440137
          0,           0,         174,       -5.33863044,      -1.974878512,      -3.838511311,      0.1410128342,      -7.223911237
          0,           0,         175,      -5.341317885,      -1.977585999,      -3.842468446,      0.1382650984,      -7.222397106
          0,           0,         176,      -5.343988923,      -1.980274111,      -3.846380547,      0.1355342392,       -7.22090564
          0,           0,         177,      -5.346643751,      -1.982943089,      -3.850248905,       0.132820016,      -7.219444372
          0,           0,         178,      -5.349282542,      -1.985593168,      -3.854075551,      0.1301221915,      -7.218004476
          0,           0,         179,      -5.351905446,      -1.988224578,      -3.857863117,      0.1274405358,      -7.216566247
          0,           0,         180,      -5.354512591,       -1.99083754,      -3.861614677,      0.1247748283,      -7.215119202
          0,           0,         181,      -5.357104085,      -1.993432272,      -3.865333556,      0.1221248606,      -7.213664492
          0,           0,         182,      -5.359680024,      -1.996008987,      -3.869023152,      0.1194904371,      -7.212206736
          0,           0,         183,      -5.362240496,      -1.998567888,      -3.872686766,      0.1168713766,      -7.210750636
          0,           0,         184,      -5.364785591,      -2.001109176,      -3.876327449,       0.114267512,      -7.209299657
          0,           0,         185,      -5.367315409,      -2.003633044,       -3.87994788,        0.11167869,      -7.207854819
          0,           0,         186,      -5.369830068,       -2.00613968,      -3.883550269,      0.1091047701,      -7.206416323
          0,           0,         187,      -5.372329716,      -2.008629265,      -3.887136296,      0.1065456227,      -7.204987266
          0,           0,         188,      -5.374814536,      -2.011101976,       -3.89070708,      0.1040011283,       -7.20357256
          0,           0,         189,      -5.377284755,      -2.013557983,      -3.894263165,      0.1014711729,      -7.202178672
          0,           0,         190,      -5.379740645,      -2.015997452,      -3.897804544,     0.09895564881,      -7.200807091
          0,           0,         191,      -5.382182524,      -2.018420542,      -3.901330683,     0.09645445029,      -7.199446685
          0,           0,         192,      -5.384610758,      -2.020827409,      -3.904840577,     0.09396747217,      -7.198084613
          0,           0,         193,      -5.387025752,      -2.023218202,      -3.908332807,     0.09149460763,      -7.196719745
          0,           0,         194,      -5.389427938,      -2.025593068,      -3.911805613,     0.08903574685,      -7.195358359
          0,           0,         195,      -5.391817771,      -2.027952148,      -3.915256974,     0.08659077571,      -7.194008427
          0,           0,         196,      -5.394195707,      -2.030295579,      -3.918684688,     0.08415957503,      -7.192669835
          0,           0,         197,      -5.396562191,      -2.032623493,      -3.922086469,     0.08174202025,      -7.191333445
          0,           0,         198,      -5.398917642,      -2.034936021,      -3.925460035,     0.07933798166,      -7.189991356
          0,           0,         199,      -5.401262431,      -2.037233287,      -3.928803202,      0.0769473248,         -7.188642
          0,           0,         200,      -5.403596877,      -2.039515415,      -3.932113982,      0.0745699114,      -7.187287686
          0,           0,         201,      -5.405921224,      -2.041782522,      -3.935390664,     0.07220560051,      -7.185930582
          0,           0,         202,      -5.408235642,      -2.044034724,      -3.938631895,     0.06985424989,      -7.184572862
          0,           0,         203,      -5.410540221,      -2.046272133,      -3.941836752,     0.06751571744,      -7.183215746
          0,           0,         204,      -5.412834966,      -2.048494857,      -3.945004789,     0.06518986273,      -7.181860243
          0,           0,         205,      -5.415119811,      -2.050703004,      -3.948136075,     0.06287654822,      -7.180507578
          0,           0,         206,      -5.417394619,      -2.052896674,      -3.951231203,     0.06057564076,      -7.179157857
          0,           0,         207,      -5.419659202,      -2.055075967,      -3.954291284,      0.0582870123,      -7.177810224
          0,           0,         208,      -5.421913331,      -2.057240981,      -3.957317917,     0.05601054082,       -7.17646501
          0,           0,         209,      -5.424156751,      -2.059391807,      -3.960313133,     0.05374611083,      -7.175122824
          0,           0,         210,      -5.426389204,      -2.061528536,      -3.963279324,     0.05149361333,      -7.173784072
          0,           0,         211,      -5.428610438,      -2.063651256,      -3.966219154,     0.04925294594,      -7.172448595
          0,           0,         212,      -5.430820225,      -2.065760051,      -3.969135465,     0.04702401244,      -7.171115794
          0,           0,         213,      -5.433018374,      -2.067855003,      -3.972031162,     0.04480672223,      -7.169785374
          0,           0,         214,      -5.435204736,       -2.06993619,       -3.97490911,     0.04260098958,      -7.168456929
          0,           0,         215,      -5.437379213,       -2.07200369,      -3.977772026,     0.04040673291,      -7.167130472
          0,           0,         216,      -5.439541758,      -2.074057575,      -3.980622381,      0.0382238739,      -7.165806153
          0,           0,         217,      -5.441692376,      -2.076097916,      -3.983462312,     0.03605233663,      -7.164484228
          0,           0,         218,      -5.443831118,      -2.078124783,      -3.986293556,     0.03389204683,      -7.163164836
          0,           0,         219,      -5.445958079,      -2.080138242,       -3.98911739,     0.03174293126,      -7.161848188
          0,           0,         220,      -5.448073384,      -2.082138357,      -3.991934605,     0.02960491714,      -7.160534732
          0,           0,         221,      -5.450177188,      -2.084125189,      -3.994745493,     0.02747793173,       -7.15922411
          0,           0,         222,      -5.452269662,      -2.086098798,       -3.99754985,     0.02536190214,      -7.157916384
          0,           0,         223,      -5.454350987,      -2.088059243,      -4.000347014,     0.02325675525,      -7.156611976
          0,           0,         224,      -5.456421345,      -2.090006578,      -4.003135898,     0.02116241769,      -7.155310721
          0,           0,         225,      -5.458480916,      -2.091940859,       -4.00591506,     0.01907881607,      -7.154012254
          0,           0,         226,       -5.46052987,      -2.093862137,      -4.008682771,     0.01700587711,      -7.152716489
          0,           0,         227,      -5.462568366,      -2.095770463,       -4.01143709,     0.01494352805,      -7.151423439
          0,           0,         228,      -5.464596548,      -2.097665886,       -4.01417595,      0.0128916968,      -7.150132989
          0,           0,         229,      -5.466614546,      -2.099548456,      -4.016897238,     0.01085031236,      -7.148845358
          0,           0,         230,      -5.468622474,      -2.101418217,      -4.019598873,    0.008819304978,      -7.147560616
          0,           0,         231,      -5.470620431,      -2.103275216,      -4.022278882,    0.006798606279,      -7.146278875
          0,           0,         232,      -5.472608504,      -2.105119497,      -4.024935456,    0.004788149516,      -7.145000094
          0,           0,         233,       -5.47458677,      -2.106951105,      -4.027567002,    0.002787869427,      -7.143724379
          0,           0,         234,      -5.476555293,      -2.108770081,      -4.030172183,   0.0007977023389,       -7.14245221
          0,           0,         235,      -5.478514134,      -2.110576469,      -4.032749939,   -0.001182414243,      -7.141184652
          0,           0,         236,      -5.480463344,       -2.11237031,      -4.035299502,   -0.003152541588,      -7.139922829
          0,           0,         237,      -5.482402974,      -2.114151646,      -4.037820393,   -0.005112740238,      -7.138667824
          0,           0,         238,      -5.484333069,      -2.115920517,      -4.040312409,   -0.007063070173,      -7.137420579
          0,           0,         239,      -5.486253674,      -2.117676965,      -4.042775609,   -0.009003591242,       -7.13618102
          0,           0,         240,      -5.488164833,       -2.11942103,       -4.04521028,    -0.01093436343,      -7.134948331
          0,           0,         241,      -5.490066592,      -2.121152753,      -4.047616911,    -0.01285544725,      -7.133721329
          0,           0,         242,      -5.491958996,      -2.122872176,      -4.049996158,     -0.0147669038,      -7.132498636
          0,           0,         243,      -5.493842091,      -2.124579339,       -4.05234881,    -0.01666879521,      -7.131279653
          0,           0,         244,      -5.495715926,      -2.126274285,      -4.054675757,    -0.01856118458,      -7.130062986
          0,           0,         245,      -5.497580551,      -2.127957054,       -4.05697796,    -0.02044413608,      -7.128846028
